Address,LATITUDE,LONGITUDE
Civil Line Police Station,28.6889447,77.2216991
Khamtarai Police Station,21.2772077,81.6455842
Urla Police Station,21.3083645,81.6192205
Amanaka Police Station,21.2597012,81.5712735
Purani Basti Police Station,21.2338173,81.6285484
Tikrapara Police Station,21.221755,81.640496
Gudhiyari Police Station,21.2599688,81.6211959
Telibandha Police Station,21.2385868,81.6714331
Golbajar Police Station,21.240592,81.636279
D.D. Nagar Police Station,26.2673692,78.2077368
Devendra Nagar Police Station,21.2581472,81.6467162
New Rajendra Nagar Police Station,21.2213914,81.6623728
Mahila Police Station,23.0315335,72.5638869
Mana Police Station,20.7655586,77.4786936
Abhanpur Police Station,21.0520389,81.7356232
Dharsiwa Police Station,21.4082587,81.6719559
Tilda Newra Police Station,21.551387,81.800389
Gobra-Nawapara Police Station,20.9737721,81.8570438
Vidhansabha Police Station,21.2915802,81.7224126
Mujgahan Police Station,21.1580239,81.6646849
