city,crime_name,2011,2012,2013,2014,avg
Agra,Acid attack,,,,0.1,0.1
Agra,Agrarian riots,,,,0,0
Agra,Arson,0.1,0,0.1,0.3,0.1
Agra,Assault on women with intent to outrage her modesty,23.6,7.6,20.8,25.7,16.9
Agra,Attempt to acid attack,,,,0,0
Agra,Attempt to commit culpable homicide not amounting to murder,,,,4.1,4.1
Agra,Attempt to commit murder,7.2,4.6,5.2,5,5.3
Agra,Attempt to commit rape,,,,1.1,1.1
Agra,Auto theft,147.9,143.4,116.8,141.2,131.1
Agra,Burglary,13.7,17,14.3,13.5,13.7
Agra,Caste conflict riots,,,,0,0
Agra,Causing death by negligence,26.8,9.7,11.1,10.8,15
Agra,Causing injuries under rash driving or road rage,,,,17.2,17.2
Agra,Cheating,18.9,15.6,18.9,17.1,18.1
Agra,Communal riots,,,,0,0
Agra,Counterfeit currency & bank notes total,,,,0.3,0.3
Agra,Counterfeiting,2,0.6,0.7,0.3,1.6
Agra,Counterfeiting currency - notes or bank notes,,,,0.3,0.3
Agra,Counterfeiting government stamp,,,,0,0
Agra,Criminal breach of trust,8,7.4,7.5,4.2,7.2
Agra,Criminal trespass or burglary,,,,2.4,2.4
Agra,Cruelty by husband or his relatives,35.1,28.6,44.9,45.6,37.9
Agra,Culpable homicide not amounting to murder,1.6,1.3,0.7,1,1.3
Agra,Custodial rape,0,0,0,0,0
Agra,Dacoity,0.3,0.5,0.2,0.4,0.3
Agra,Dacoity with murder,,,,0.1,0.1
Agra,Deaths due to other causes,,,,1.2,1.2
Agra,Deaths due to rash or negligent driving,,,,9.6,9.6
Agra,Disclosure of identity of victims,,,,0,0
Agra,Dowry deaths,7,3.9,6,4.5,5.3
Agra,Extortion,,,,2.4,2.4
Agra,Forgery,,,,0,0
Agra,Gang rape,,,,0,0
Agra,Gang rape other than custodial,,,,0.2,0.2
Agra,Grievous hurt,,,,9.3,9.3
Agra,House trespass & house breaking,,,,11.1,11.1
Agra,Human trafficking,,,,0,0
Agra,Hurt,19.7,10.2,6,9.4,13.1
Agra,Importation of girls from foreign country,0,0,0,0,0
Agra,Imputation or assertions prejudicial to national integration,,,,0.1,0.1
Agra,Industrial riots,,,,0,0
Agra,Insult to modesty of women at office premises,,,,0,0
Agra,Insult to modesty of women at other places,,,,0,0
Agra,Insult to modesty of women in other places related to work,,,,0,0
Agra,Insult to modesty of women in public transport system,,,,0,0
Agra,Insult to the modesty of women,0,5.3,0,0,2.6
Agra,Kidnapping,,,,11.3,11.3
Agra,Kidnapping & abduction,16.4,11.9,16.9,19.1,15.4
Agra,Kidnapping & abduction in order to murder,,,,4.8,4.8
Agra,Kidnapping & abduction of others,2.6,,3.2,0,2.6
Agra,Kidnapping & abduction of women and girls,30,20.6,29.9,0,24.6
Agra,Kidnapping & abduction of women to compel her for marriage,,,,5.7,5.7
Agra,Kidnapping for ransom,,,,0.4,0.4
Agra,Kidnapping of others,,2.4,,0,2.4
Agra,Making or possessing materials for forged currency or bank notes,,,,0,0
Agra,Making or using documents resembling currency notes or bank notes,,,,0,0
Agra,Making preparation and assembly for committing dacoity,,,,0.3,0.3
Agra,Murder,6.4,4.4,3.5,4.5,4.6
Agra,Offences against state,,,,0,0
Agra,Offences promoting enmity between different groups,,,,0.2,0.2
Agra,Offences related to counterfeit coin,,,,0,0
Agra,Other IPC crimes,111.2,71.5,79.8,44.6,78.1
Agra,Other cases of assault on women to outrage her modesty,,,,2.6,2.6
Agra,Other caste conflict riots,,,,0,0
Agra,Other kidnapping & abduction,,,,0,0
Agra,Other rape,7.6,4.1,4.9,0.1,3.7
Agra,Other rape other than custodial,,,,4.5,4.5
Agra,Other theft,34.5,32.4,27.9,33.3,30.3
Agra,Political riots,,,,0,0
Agra,Possession of forged or counterfeiting currency or bank notes,,,,0,0
Agra,Preparation & assembly for dacoity,0,0.3,0,0,0.1
Agra,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.1,0.1
Agra,Rape,7.6,4.1,4.9,4.7,4.6
Agra,Rape other than custodial,,,,4.7,4.7
Agra,Riots,23.9,13,13,13.9,14.7
Agra,Riots others,,,,13.9,13.9
Agra,Robbery,7.7,7.8,7.3,8.5,6.8
Agra,SCs-STs vs Non-SCs-STs riots,,,,0,0
Agra,Sectarian riots,,,,0,0
Agra,Sedition,,,,0,0
Agra,Sexual harassment,,,,19.7,19.7
Agra,Sexual harassment and molestation of women,23.6,12.9,20.8,25.7,19.5
Agra,Stalking,,,,2.2,2.2
Agra,Student riots,,,,0,0
Agra,Theft,182.4,175.8,144.8,174.5,161.3
Agra,Total cognizable crimes under IPC,480,374.4,365.1,389,394.4
Agra,Unlawful assembly,,,,0,0
Agra,Unnatural offences,,,,0.1,0.1
Agra,Use of criminal force with intent to disrobe women,,,,1,1
Agra,"Using as genuine, forged or counterfeiting currency or bank notes",,,,0,0
Agra,Voyeurism,,,,0.2,0.2
Ahmedabad,Acid attack,,,,0,0
Ahmedabad,Agrarian riots,,,,0,0
Ahmedabad,Arson,0.1,0.3,0.4,0.1,0.2
Ahmedabad,Assault on women with intent to outrage her modesty,2.8,2.6,6,5.4,3.8
Ahmedabad,Attempt to acid attack,,,,0,0
Ahmedabad,Attempt to commit culpable homicide not amounting to murder,,,,0,0
Ahmedabad,Attempt to commit murder,1.1,0.8,1.1,1,1.1
Ahmedabad,Attempt to commit rape,,,,0,0
Ahmedabad,Auto theft,36.3,35.5,32.9,26.7,40
Ahmedabad,Burglary,13.1,11,10.6,7.9,12.1
Ahmedabad,Caste conflict riots,,,,0.1,0.1
Ahmedabad,Causing death by negligence,2.9,3.8,4.2,5.2,4.1
Ahmedabad,Causing injuries under rash driving or road rage,,,,27.6,27.6
Ahmedabad,Cheating,4.5,3.9,4,3.4,4.1
Ahmedabad,Communal riots,,,,0.3,0.3
Ahmedabad,Counterfeit currency & bank notes total,,,,0.2,0.2
Ahmedabad,Counterfeiting,0.2,0.3,0.4,0.2,0.3
Ahmedabad,Counterfeiting currency - notes or bank notes,,,,0,0
Ahmedabad,Counterfeiting government stamp,,,,0,0
Ahmedabad,Criminal breach of trust,4.9,4.7,3.6,2.7,4.3
Ahmedabad,Criminal trespass or burglary,,,,3.7,3.7
Ahmedabad,Cruelty by husband or his relatives,46.3,48.2,58.5,26.7,44.1
Ahmedabad,Culpable homicide not amounting to murder,0,0.1,0,0.1,0.1
Ahmedabad,Custodial rape,0,0,0,0,0
Ahmedabad,Dacoity,0.5,0.4,0.3,0.3,0.4
Ahmedabad,Dacoity with murder,,,,0,0
Ahmedabad,Deaths due to other causes,,,,0.1,0.1
Ahmedabad,Deaths due to rash or negligent driving,,,,5.1,5.1
Ahmedabad,Disclosure of identity of victims,,,,0,0
Ahmedabad,Dowry deaths,0.6,0.4,0.7,0.4,0.5
Ahmedabad,Extortion,,,,0.4,0.4
Ahmedabad,Forgery,,,,0.1,0.1
Ahmedabad,Gang rape,,,,0,0
Ahmedabad,Gang rape other than custodial,,,,0,0
Ahmedabad,Grievous hurt,,,,3.8,3.8
Ahmedabad,House trespass & house breaking,,,,4.2,4.2
Ahmedabad,Human trafficking,,,,0,0
Ahmedabad,Hurt,22.5,20.8,21.1,3.9,19.7
Ahmedabad,Importation of girls from foreign country,0,0,0,0,0
Ahmedabad,Imputation or assertions prejudicial to national integration,,,,0,0
Ahmedabad,Industrial riots,,,,0,0
Ahmedabad,Insult to modesty of women at office premises,,,,0,0
Ahmedabad,Insult to modesty of women at other places,,,,0.1,0.1
Ahmedabad,Insult to modesty of women in other places related to work,,,,0,0
Ahmedabad,Insult to modesty of women in public transport system,,,,0,0
Ahmedabad,Insult to the modesty of women,0.5,0.2,0.3,0.1,0.3
Ahmedabad,Kidnapping,,,,1.6,1.6
Ahmedabad,Kidnapping & abduction,3.6,3.6,7.2,5.8,5
Ahmedabad,Kidnapping & abduction in order to murder,,,,0,0
Ahmedabad,Kidnapping & abduction of others,0.7,,1.7,0,1
Ahmedabad,Kidnapping & abduction of women and girls,6.1,6.1,11.8,0,7.5
Ahmedabad,Kidnapping & abduction of women to compel her for marriage,,,,6.7,6.7
Ahmedabad,Kidnapping for ransom,,,,0.1,0.1
Ahmedabad,Kidnapping of others,,0.7,,0,0.7
Ahmedabad,Making or possessing materials for forged currency or bank notes,,,,0,0
